Code,Description,Unit,Mat Cost,Mat Factor,Mat Unit,Labor Cost,Labor Productivity,Labor Unit,Sub Cost,Equip Cost,Equip Productivity,Equip Unit,Other Cost
06.010010 Pipe Schedule-40 A53 Black - Thread/Coupled,,,,,,,,,,,,,
06.010010.0010,"1/4"" A53 Schedule-40 Black Pipe, Thread/Coupled",LF,4.58,1,,75,14.29,HR,0,0,1,HR,0
06.010010.0015,"1/8"" A53 Schedule-40 Black Pipe, Threaded/Coulped",LF,34.03,1,,75,0.25,HR,0,0,1,HR,0
06.010010.0020,"3/8"" A53 Schedule-40 Black Pipe, Threaded/Coulped",LF,6.11,1,,75,0.08,HR,0,0,1,HR,0
06.010010.0030,"1/2"" A53 Schedule-40 Black Pipe, Threaded/Coupled",LF,1.51,1,,75,0.08,HR,0,0,1,HR,0
06.010010.0040,"3/4"" A53 Schedule-40 Black Pipe, Threaded/Coupled",LF,1.89,1,,75,0.1,HR,0,0,1,HR,0
06.010010.0050,"1"" A53 Schedule-40 Black Pipe, Threaded/Coupled",LF,2.11,1,,75,0.13,HR,0,0,1,HR,0
06.010010.0060,"1-1/4"" A53 Schedule-40 Black Pipe, Threaded/Coupled",LF,2.79,1,,75,0.15,HR,0,0,1,HR,0
06.010010.0070,"1-1/2"" A53 Schedule-40 Black Pipe, Threaded/Coupled",LF,3.35,1,,75,0.18,HR,0,0,1,HR,0
06.010010.0080,"2"" A53 Schedule-40 Black Pipe, Threaded/Coupled",LF,4.51,1,,75,0.22,HR,0,0,1,HR,0
06.010010.0090,"2-1/2"" A53 Schedule-40 Black Pipe, Threaded/Coupled",LF,7.99,1,,75,0.25,HR,0,0,1,HR,0
06.010010.0100,"3"" A53 Schedule-40 Black Pipe, Threaded/Coupled",LF,10.42,1,,75,0.3,HR,5,0,1,HR,0
06.010010.0110,"3-1/2"" A53 Schedule-40 Black Pipe, Threaded/Coupled",LF,7.95,1,,75,0.33,HR,5,0,1,HR,0
06.010010.0120,"4"" A53 Schedule-40 Black Pipe, Threaded/Coupled",LF,14.89,1,,75,0.4,HR,5,0,1,HR,0
06.010010.0130,"5"" A53 Schedule-40 Black Pipe, Threaded/Coupled",LF,15.8,1,,75,0.5,HR,100,0,1,HR,0
06.010010.0140,"6"" A53 Schedule-40 Black Pipe, Threaded/Coupled",LF,22.5,1,,75,0.75,HR,125,0,1,HR,0
06.010010.0160,"3/8"" A53 Schedule-40 Black Pipe, Threaded/Coulped DELETE",LF,0,1,,75,1,HR,0,0,1,HR,0
06.010010.0170,"1/2"" A53 Schedule-40 Black Pipe, Threaded/Coupled DELETE",LF,0,1,,75,1,HR,0,0,1,HR,0
06.010010.0180,"3/4"" A53 Schedule-40 Black Pipe, Threaded/Coupled DELETE",LF,0,1,,75,1,HR,0,0,1,HR,0
